Country,Countryid,officeid
"Albania, Romania",1,1
"Brazil, Panama",2,2
Comoros,3,3
Costa Rica,4,5
Dominican Republic,5,5
"Egypt, Morocco",6,3
"Ghana, Uganda, Sudan",7,4
Honduras,8,5
Jordan,9,6
Madagascar,10,3
Malaysia,11,8
Maldives ,12,7
Mauritania ,13,8
Mauritius,14,4
Mongolia,15,7
Montenegro,16,1
Myanmar,17,7
Nepal,18,7
Niger,19,3
Pakistan,20,7
Palestine ,21,4
Serbia,22,1
"South Sudan, Egypt",23,9
Swaziland ,24,3
"Tonga, uganda, Tanzania, Kenya ",26,4
Zimbabwe,27,8
Jordan PPFA,28,3
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
